,Session 1,Session 2,Session 3,Virtual Attendee
250,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
251,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,True
252,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,False
253,Modern Portfolio Management,Build a Bot Using PowerAutomate,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
254,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
255,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,ESG 101,False
256,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
257,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
258,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
259,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,False
260,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Environmental Impact @ Slalom with Net Zero Cloud,False
261,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,True
262,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
263,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
264,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,Shaping the Future Through Inspiration and Innovation,False
265,Build a Bot Using PowerAutomate,The Future of Work: What You Need to Know to Navigate this Brave New World,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
267,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,True
268,Architecting for a Sustainable Cloud Future,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Environmental Impact @ Slalom with Net Zero Cloud,False
269,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,Modern Portfolio Management,False
270,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
271,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,ESG 101,False
272,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,Environmental Impact @ Slalom with Net Zero Cloud,False
273,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
274,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
275,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
276,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,False
277,Architecting for a Sustainable Cloud Future,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,False
278,Service Design: A Framework for Practical Collaboration,ESG 101,Modern Portfolio Management,False
279,Build a Bot Using PowerAutomate,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,False
280,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,True
283,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,False
285,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
286,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
289,ESG 101,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
290,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Low Code – Meeting User Needs While Also Being Fast and Lean,False
291,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,False
293,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
294,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,False
295,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
296,Service Design: A Framework for Practical Collaboration,ESG 101,Modern Portfolio Management,False
297,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,False
298,Shaping the Future Through Inspiration and Innovation,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,False
299,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,True
300,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
302,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,False
303,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,ESG 101,False
304,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
305,Build a Bot Using PowerAutomate,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,False
306,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
307,ESG 101,Build a Bot Using PowerAutomate,Environmental Impact @ Slalom with Net Zero Cloud,False
308,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
309,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,ESG 101,True
310,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
311,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
312,ESG 101,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,True
313,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
314,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
315,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
316,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,True
317,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,True
318,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,True
319,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Service Design: A Framework for Practical Collaboration,ESG 101,True
320,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,True
321,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
322,Build a Bot Using PowerAutomate,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,True
323,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
325,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,False
326,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
327,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,True
328,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,False
329,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,The Future of Work: What You Need to Know to Navigate this Brave New World,True
330,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,True
331,ESG 101,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,False
332,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,ESG 101,True
334,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,False
335,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
336,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
337,Shaping the Future Through Inspiration and Innovation,ESG 101,Service Design: A Framework for Practical Collaboration,False
338,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,True
340,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
342,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,False
343,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,True
344,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,True
345,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
346,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
347,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,True
348,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,False
349,Service Design: A Framework for Practical Collaboration,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,False
350,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
351,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,False
353,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,ESG 101,True
354,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
355,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,False
356,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,False
357,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,ESG 101,False
360,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
361,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,False
363,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
364,Build a Bot Using PowerAutomate,ESG 101,Low Code – Meeting User Needs While Also Being Fast and Lean,True
365,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
366,Architecting for a Sustainable Cloud Future,Service Design: A Framework for Practical Collaboration,ESG 101,False
367,ESG 101,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,False
368,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
369,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
371,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,False
372,Modern Portfolio Management,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Service Design: A Framework for Practical Collaboration,False
373,Environmental Impact @ Slalom with Net Zero Cloud,The Future of Work: What You Need to Know to Navigate this Brave New World,ESG 101,False
374,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,False
375,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
376,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,The Future of Work: What You Need to Know to Navigate this Brave New World,False
377,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
379,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
380,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,ESG 101,True
381,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
382,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,True
384,ESG 101,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
386,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
387,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,False
388,ESG 101,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,False
389,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,False
390,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,True
391,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
392,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,True
395,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
396,Build a Bot Using PowerAutomate,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,False
398,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
399,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,ESG 101,True
400,Environmental Impact @ Slalom with Net Zero Cloud,Fusion Development with the Microsoft Power Platform,Architecting for a Sustainable Cloud Future,False
401,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,True
402,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,True
403,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
404,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
405,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,False
406,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
407,Shaping the Future Through Inspiration and Innovation,ESG 101,Modern Portfolio Management,False
408,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,ESG 101,False
409,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
410,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,True
412,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,False
413,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
414,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
415,Architecting for a Sustainable Cloud Future,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,False
417,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,Build a Bot Using PowerAutomate,False
418,Shaping the Future Through Inspiration and Innovation,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Service Design: A Framework for Practical Collaboration,False
419,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,True
420,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
421,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,False
422,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,False
423,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Fusion Development with the Microsoft Power Platform,True
424,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
425,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,True
426,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
427,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,False
428,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,The Future of Work: What You Need to Know to Navigate this Brave New World,True
430,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
431,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
432,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
433,Environmental Impact @ Slalom with Net Zero Cloud,The Future of Work: What You Need to Know to Navigate this Brave New World,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
434,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
435,ESG 101,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,False
436,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,False
438,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,True
440,Low Code – Meeting User Needs While Also Being Fast and Lean,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Service Design: A Framework for Practical Collaboration,False
441,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,False
442,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,The Future of Work: What You Need to Know to Navigate this Brave New World,True
443,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
445,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Fusion Development with the Microsoft Power Platform,False
446,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Shaping the Future Through Inspiration and Innovation,ESG 101,True
447,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,True
448,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
449,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
450,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
451,ESG 101,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
452,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,Architecting for a Sustainable Cloud Future,True
454,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,ESG 101,True
455,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,The Future of Work: What You Need to Know to Navigate this Brave New World,True
456,The Future of Work: What You Need to Know to Navigate this Brave New World,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,False
457,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,True
458,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,True
459,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
460,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,True
461,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
462,Build a Bot Using PowerAutomate,The Future of Work: What You Need to Know to Navigate this Brave New World,Fusion Development with the Microsoft Power Platform,False
463,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
464,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
465,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
466,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
467,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Shaping the Future Through Inspiration and Innovation,ESG 101,True
468,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,False
469,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Environmental Impact @ Slalom with Net Zero Cloud,False
470,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
471,Build a Bot Using PowerAutomate,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,True
472,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
473,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
475,Fusion Development with the Microsoft Power Platform,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
476,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,False
477,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
478,Modern Portfolio Management,ESG 101,Architecting for a Sustainable Cloud Future,False
479,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,True
480,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Environmental Impact @ Slalom with Net Zero Cloud,True
481,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
482,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,True
